covariate,measure,gbd,include,release
access2,mean,F,T,DATE
crutsdtr,mean,F,T,DATE
crutsfrs,sum,F,T,DATE
crutspet,mean,F,T,DATE
distriverslakes,mean,F,T,DATE
crutswet,sum,F,T,DATE
elevation,mean,F,T,DATE
evi_v6,mean_mean,F,T,DATE
ghslurbanicity,mean,F,T,DATE
irrigation,mean,F,T,DATE
nexndvi,mean,F,T,DATE
mswep,sum,F,T,DATE
tcb_v6,mean_mean,F,T,DATE
tcw_v6,mean_mean,F,T,DATE
worldpop_raked,total,F,T,DATE
edu_mean_stage2pl,mean,F,T,DATE
anc4_coverage_prop,mean,T,T,
mx_warterror_10years,mean,T,T,
ldi_pc,mean,T,T,
bias_corr_vacc_dpt3,mean,F,T,DATE
